Anno,Position,id,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
2021-22,F,9,Utah Jazz,82,49,33,.598,20.9,40.3,14.0,31.1,45.1,6.7,17.8,37.5,5.6,7.1,79.0,3.3,13.4,16.7,7.4,6.0,2.5,1.1,1.7,7.6,5.6,2.0
2021-22,F,10,Denver Nuggets,82,48,34,.585,16.9,35.4,13.2,26.4,50.0,3.0,9.2,32.4,5.9,7.7,77.1,4.2,11.5,15.7,5.3,5.1,1.9,1.5,1.7,7.5,6.7,0.5
2021-22,F,10,Toronto Raptors,82,48,34,.585,37.8,86.7,32.8,72.0,45.5,8.4,24.4,34.6,12.7,17.2,74.3,11.0,26.5,37.5,14.8,9.7,6.7,3.7,4.1,15.4,15.3,2.1
2021-22,F,12,Chicago Bulls,82,46,36,.561,25.8,66.4,24.2,48.6,49.8,4.5,12.2,37.1,13.5,16.3,82.8,5.5,17.3,22.7,11.1,6.9,3.4,2.1,3.1,9.9,12.7,-0.2
2021-22,F,12,Minnesota Timberwolves,82,46,36,.561,22.9,53.8,19.8,39.4,50.2,4.8,13.3,35.9,9.4,12.2,77.6,8.2,19.9,28.1,7.9,6.8,4.1,3.6,2.8,12.8,11.4,0.9
2021-22,F,14,Brooklyn Nets,82,44,38,.537,26.9,61.1,23.8,46.4,51.2,4.2,11.8,35.3,9.4,12.0,78.9,7.4,21.3,28.7,11.8,7.9,3.9,4.0,2.5,13.0,11.0,0.2
2021-22,F,14,Cleveland Cavaliers,82,44,38,.537,23.7,49.0,17.1,38.2,44.8,7.3,20.2,36.1,7.4,9.6,77.4,4.4,16.4,20.8,7.8,7.1,3.1,1.5,1.9,9.8,8.2,0.9
2021-22,F,16,Atlanta Hawks,82,43,39,.524,25.0,54.6,20.0,42.9,46.7,6.5,17.5,37.3,8.0,9.9,81.3,4.4,16.7,21.1,7.8,6.3,3.1,2.4,2.1,11.5,9.5,0.6
2021-22,F,16,Charlotte Hornets,82,43,39,.524,33.2,72.4,27.0,55.4,48.9,7.9,22.4,35.4,10.4,14.9,69.6,8.0,24.0,32.0,15.2,9.0,5.5,3.8,2.9,13.9,13.4,0.6
2021-22,F,18,LA Clippers,82,42,40,.512,26.9,59.3,21.9,46.5,47.1,7.0,18.6,38.0,8.5,10.7,79.3,5.0,20.6,25.7,12.3,7.6,4.4,3.2,2.3,10.8,9.9,0.3
2021-22,F,19,New York Knicks,82,37,45,.451,29.9,69.3,25.3,55.5,45.5,7.1,20.5,34.7,11.6,16.5,70.7,9.0,23.1,32.1,11.4,8.3,4.0,3.9,3.4,12.8,13.1,-1.1
2021-22,F,20,New Orleans Pelicans,82,36,46,.439,23.7,51.5,18.7,39.9,46.9,4.1,12.4,33.2,10.0,12.5,80.4,6.7,15.8,22.5,9.5,7.0,4.1,2.6,2.4,10.5,10.3,-0.5
2021-22,F,21,Washington Wizards,82,35,47,.427,28.1,63.9,24.0,48.0,49.9,5.9,17.1,34.7,10.1,13.4,75.5,7.0,23.7,30.7,10.0,7.5,3.0,4.0,2.5,11.4,11.6,-1.7
2021-22,F,22,San Antonio Spurs,82,34,48,.415,24.4,56.6,21.2,46.5,45.7,6.8,18.9,36.3,7.3,9.6,75.9,4.7,17.3,22.0,9.1,6.5,3.4,2.0,2.6,8.9,8.0,-0.1
2021-22,F,23,Los Angeles Lakers,82,33,49,.402,21.3,56.2,20.9,42.3,49.5,5.1,14.9,34.5,9.2,12.6,73.2,5.4,17.7,23.2,8.9,6.4,3.6,3.4,1.7,9.3,10.8,-1.4
2021-22,F,24,Sacramento Kings,82,30,52,.366,22.4,47.9,17.3,36.3,47.6,4.3,12.7,33.9,9.1,11.6,78.2,5.7,19.3,25.0,6.8,6.5,2.8,2.1,2.3,8.3,10.1,-2.7
2021-22,F,25,Portland Trail Blazers,82,27,55,.329,18.5,32.2,12.2,25.9,47.0,2.8,9.1,31.1,5.0,6.9,72.5,5.8,15.2,21.0,6.1,5.7,3.3,2.6,1.5,9.5,6.4,-3.5
2021-22,F,26,Indiana Pacers,82,25,57,.305,28.2,62.3,23.1,47.8,48.4,6.4,18.9,33.8,9.7,13.2,73.7,9.0,21.9,30.9,10.7,8.4,3.8,4.5,2.3,13.2,11.6,-2.2
